Price,LastUpdated
62.5123,3/19/25 8:00
62.6604,3/19/25 8:05
62.6505,3/19/25 8:10
62.6703,3/19/25 8:15
62.6703,3/19/25 8:25
62.769,3/19/25 8:30
62.769,3/19/25 8:35
62.8381,3/19/25 8:40
62.8578,3/19/25 8:45
62.8869,3/19/25 8:50
62.8575,3/19/25 9:00
62.8674,3/19/25 9:05
62.8677,3/19/25 9:10
62.8578,3/19/25 9:15
62.848,3/19/25 9:20
62.8874,3/19/25 9:25
62.8282,3/19/25 9:30
62.7986,3/19/25 9:35
62.8282,3/19/25 9:40
62.8183,3/19/25 9:45
63.0059,3/19/25 9:50
63.0355,3/19/25 9:55
62.9565,3/19/25 10:00
62.8924,3/19/25 10:05
62.8874,3/19/25 10:10
62.9763,3/19/25 10:15
63.0552,3/19/25 10:20
63.0355,3/19/25 10:25
63.0849,3/19/25 10:30
63.075,3/19/25 10:35
63.0849,3/19/25 10:40
63.1046,3/19/25 10:45
63.0651,3/19/25 10:50
63.0651,3/19/25 10:55
63.0914,3/19/25 11:00
63.1125,3/19/25 11:05
63.1836,3/19/25 11:10
63.1391,3/19/25 11:15
63.1638,3/19/25 11:20
63.1541,3/19/25 11:25
63.0503,3/19/25 11:30
63.0256,3/19/25 11:35
63.0256,3/19/25 11:40
63.0548,3/19/25 11:45
63.0651,3/19/25 11:50
63.0651,3/19/25 11:55
63.0651,3/19/25 12:00
63.0503,3/19/25 12:05
63.0849,3/19/25 12:10
63.0503,3/19/25 12:15
63.0651,3/19/25 12:20
63.0355,3/19/25 12:25
63.0849,3/19/25 12:30
63.154,3/19/25 12:35
63.223,3/19/25 12:40
63.2823,3/19/25 12:45
63.2921,3/19/25 12:50
63.2033,3/19/25 12:55
63.1847,3/19/25 13:00
63.1934,3/19/25 13:05
63.1737,3/19/25 13:10
63.1441,3/19/25 13:15
63.0651,3/19/25 13:20
63.1046,3/19/25 13:25
63.1461,3/19/25 13:30
63.1728,3/19/25 13:35
63.228,3/19/25 13:40
63.1243,3/19/25 13:45
63.1095,3/19/25 13:50
63.0306,3/19/25 13:55
63.0849,3/19/25 14:00
63.0651,3/19/25 14:05
63.154,3/19/25 14:10
63.154,3/19/25 14:15
63.154,3/19/25 14:20
63.0849,3/19/25 14:25
63.1934,3/19/25 14:30
63.1984,3/19/25 14:35
63.302,3/19/25 14:40
63.2625,3/19/25 14:45
63.2773,3/19/25 14:50
63.3316,3/19/25 14:55
63.3316,3/19/25 15:00
63.3516,3/19/25 15:05
63.4155,3/19/25 15:10
63.3563,3/19/25 15:15
63.3514,3/19/25 15:20
63.2921,3/19/25 15:25
63.3514,3/19/25 15:30
63.3415,3/19/25 15:35
63.3743,3/19/25 15:40
63.352,3/19/25 15:45
63.312,3/19/25 15:50
63.3612,3/19/25 15:55
63.4698,3/19/25 16:00
63.4205,3/19/25 16:05
63.4205,3/19/25 16:10
63.6157,3/19/25 16:30
63.4205,3/19/25 16:35
62.1545,3/19/25 16:55
63.4205,3/19/25 18:30
63.4205,3/19/25 19:00
63.4698,3/20/25 4:00
63.6179,3/20/25 4:05
63.7166,3/20/25 4:10
63.7659,3/20/25 4:30
63.6574,3/20/25 4:35
63.4501,3/20/25 4:55
63.4205,3/20/25 5:00
63.3514,3/20/25 5:10
63.2527,3/20/25 5:15
63.1145,3/20/25 5:40
63.0059,3/20/25 6:00
62.9368,3/20/25 6:05
62.7986,3/20/25 6:10
62.7591,3/20/25 6:20
62.7887,3/20/25 6:30
62.7591,3/20/25 6:35
62.8874,3/20/25 6:45
62.8776,3/20/25 7:05
62.769,3/20/25 7:15
62.7394,3/20/25 7:20
62.6505,3/20/25 7:30
62.6999,3/20/25 7:35
62.769,3/20/25 7:50
63.4205,3/20/25 8:00
62.7196,3/20/25 8:25
62.6802,3/20/25 8:30
62.69,3/20/25 8:35
62.7295,3/20/25 8:45
62.8381,3/20/25 8:50
62.7295,3/20/25 9:00
62.6111,3/20/25 9:05
62.6111,3/20/25 9:10
62.5913,3/20/25 9:15
62.4729,3/20/25 9:25
62.4482,3/20/25 9:30
62.5518,3/20/25 9:35
62.5321,3/20/25 9:40
62.6604,3/20/25 9:45
62.6802,3/20/25 9:50
62.7098,3/20/25 9:55
62.7739,3/20/25 10:00
62.8628,3/20/25 10:05
62.8924,3/20/25 10:10
62.8529,3/20/25 10:15
62.7591,3/20/25 10:20
62.7098,3/20/25 10:25
62.6802,3/20/25 10:30
62.7295,3/20/25 10:35
62.7684,3/20/25 10:40
62.769,3/20/25 10:45
62.7789,3/20/25 10:50
62.8282,3/20/25 10:55
62.9171,3/20/25 11:00
62.9171,3/20/25 11:05
62.9171,3/20/25 11:10
62.8776,3/20/25 11:15
62.848,3/20/25 11:20
62.8339,3/20/25 11:25
62.7986,3/20/25 11:30
62.8677,3/20/25 11:35
62.9319,3/20/25 11:40
62.9171,3/20/25 11:45
62.9812,3/20/25 11:50
62.9565,3/20/25 11:55
63.0503,3/20/25 12:00
63.0158,3/20/25 12:05
63.0699,3/20/25 12:10
63.0355,3/20/25 12:15
63.0158,3/20/25 12:20
63.0256,3/20/25 12:25
63.0158,3/20/25 12:30
63.0552,3/20/25 12:35
63.0158,3/20/25 12:40
63.0158,3/20/25 12:45
62.9467,3/20/25 12:50
62.9072,3/20/25 12:55
62.9565,3/20/25 13:00
62.9763,3/20/25 13:05
62.9812,3/20/25 13:10
62.996,3/20/25 13:15
62.9861,3/20/25 13:20
62.9269,3/20/25 13:25
62.9467,3/20/25 13:30
62.9919,3/20/25 13:35
62.996,3/20/25 13:40
63.0059,3/20/25 13:45
63.0355,3/20/25 13:50
62.9812,3/20/25 13:55
62.9861,3/20/25 14:00
62.9763,3/20/25 14:05
62.9763,3/20/25 14:10
63.0158,3/20/25 14:15
62.9565,3/20/25 14:20
62.8873,3/20/25 14:25
62.848,3/20/25 14:30
62.8874,3/20/25 14:35
62.9121,3/20/25 14:40
62.9286,3/20/25 14:45
62.996,3/20/25 14:50
62.9713,3/20/25 14:55
63.0158,3/20/25 15:00
63.0207,3/20/25 15:05
63.0355,3/20/25 15:10
63.0947,3/20/25 15:15
63.1934,3/20/25 15:20
63.1441,3/20/25 15:25
63.1878,3/20/25 15:30
63.2625,3/20/25 15:35
63.2823,3/20/25 15:40
63.2724,3/20/25 15:45
63.228,3/20/25 15:50
63.2428,3/20/25 15:55
63.371,3/20/25 16:00
63.3369,3/20/25 16:05
63.2329,3/20/25 16:10
62.4334,3/20/25 16:50
63.2329,3/20/25 18:30
62.0316,3/20/25 18:45
63.2329,3/20/25 19:00
62.8085,3/21/25 4:10
62.8085,3/21/25 4:15
62.8085,3/21/25 6:45
62.6802,3/21/25 7:10
63.2329,3/21/25 8:00
62.8085,3/21/25 8:05
62.7986,3/21/25 8:10
62.7789,3/21/25 8:30
62.6309,3/21/25 8:40
62.6111,3/21/25 9:05
62.6111,3/21/25 9:20
62.6259,3/21/25 9:30
62.6209,3/21/25 9:35
62.6999,3/21/25 9:40
62.5617,3/21/25 9:45
62.4975,3/21/25 9:50
62.5518,3/21/25 9:55
62.5123,3/21/25 10:00
62.4679,3/21/25 10:05
62.4679,3/21/25 10:10
62.4679,3/21/25 10:15
62.4531,3/21/25 10:20
62.4827,3/21/25 10:25
62.5617,3/21/25 10:30
62.5814,3/21/25 10:35
62.7591,3/21/25 10:40
62.7295,3/21/25 10:45
62.8578,3/21/25 10:50
62.7986,3/21/25 10:55
62.7443,3/21/25 11:00
62.6555,3/21/25 11:05
62.5518,3/21/25 11:10
62.6505,3/21/25 11:15
62.4926,3/21/25 11:20
62.3939,3/21/25 11:25
62.4136,3/21/25 11:30
62.3939,3/21/25 11:35
62.384,3/21/25 11:40
62.384,3/21/25 11:45
62.2656,3/21/25 11:50
62.3149,3/21/25 11:55
62.3347,3/21/25 12:00
62.4383,3/21/25 12:05
62.4136,3/21/25 12:10
62.4531,3/21/25 12:15
62.4877,3/21/25 12:20
62.537,3/21/25 12:25
62.5025,3/21/25 12:30
62.4334,3/21/25 12:35
62.4284,3/21/25 12:40
62.5222,3/21/25 12:45
62.4926,3/21/25 12:50
62.5181,3/21/25 12:55
62.5025,3/21/25 13:00
62.4778,3/21/25 13:05
62.4334,3/21/25 13:10
62.4432,3/21/25 13:15
62.5074,3/21/25 13:20
62.4827,3/21/25 13:25
62.4531,3/21/25 13:30
62.5025,3/21/25 13:35
62.6112,3/21/25 13:40
62.6199,3/21/25 13:45
62.5814,3/21/25 13:50
62.4729,3/21/25 13:55
62.4778,3/21/25 14:00
62.463,3/21/25 14:05
62.4496,3/21/25 14:10
62.4432,3/21/25 14:15
62.4316,3/21/25 14:20
62.4531,3/21/25 14:25
62.4531,3/21/25 14:30
62.4334,3/21/25 14:35
62.4186,3/21/25 14:40
62.384,3/21/25 14:45
62.4235,3/21/25 14:50
62.4482,3/21/25 14:55
62.4975,3/21/25 15:00
62.5518,3/21/25 15:05
62.5025,3/21/25 15:10
62.5025,3/21/25 15:15
62.542,3/21/25 15:20
62.5123,3/21/25 15:25
62.4778,3/21/25 15:30
62.4877,3/21/25 15:35
62.5716,3/21/25 15:40
62.5864,3/21/25 15:45
62.4926,3/21/25 15:50
62.5123,3/21/25 15:55
62.542,3/21/25 16:00
62.542,3/21/25 16:05
62.542,3/21/25 16:10
62.542,3/21/25 16:15
62.7788,3/21/25 17:40
62.769,3/21/25 17:50
62.7789,3/21/25 18:00
62.5518,3/21/25 18:20
62.542,3/21/25 18:30
62.542,3/21/25 19:00
62.7098,3/24/25 4:00
62.6308,3/24/25 4:30
62.6111,3/24/25 5:55
62.6308,3/24/25 7:05
62.6308,3/24/25 7:10
62.3445,3/24/25 7:55
62.3445,3/24/25 8:00
62.3445,3/24/25 8:10
62.3445,3/24/25 8:15
62.2853,3/24/25 8:20
62.3643,3/24/25 8:30
62.2557,3/24/25 8:35
62.2853,3/24/25 8:40
62.2853,3/24/25 8:50
62.1767,3/24/25 9:00
62.0484,3/24/25 9:10
61.9991,3/24/25 9:15
62.157,3/24/25 9:25
62.3533,3/24/25 9:30
62.236,3/24/25 9:35
62.3445,3/24/25 9:40
62.2557,3/24/25 9:45
62.1817,3/24/25 9:50
62.1373,3/24/25 9:55
62.231,3/24/25 10:00
62.3149,3/24/25 10:05
62.3248,3/24/25 10:10
62.3347,3/24/25 10:15
62.2952,3/24/25 10:20
62.1373,3/24/25 10:25
62.0879,3/24/25 10:30
62.1639,3/24/25 10:35
62.1274,3/24/25 10:40
62.1718,3/24/25 10:45
62.2557,3/24/25 10:50
62.2212,3/24/25 10:55
62.1817,3/24/25 11:00
62.157,3/24/25 11:05
62.0781,3/24/25 11:10
62.1471,3/24/25 11:15
62.1175,3/24/25 11:20
62.0583,3/24/25 11:25
62.1373,3/24/25 11:30
62.1619,3/24/25 11:35
62.1471,3/24/25 11:40
62.0583,3/24/25 11:45
62.1027,3/24/25 11:50
62.1521,3/24/25 11:55
62.1076,3/24/25 12:00
62.1471,3/24/25 12:05
62.0089,3/24/25 12:10
61.9843,3/24/25 12:15
62.0296,3/24/25 12:20
61.9497,3/24/25 12:25
61.9497,3/24/25 12:30
62.0188,3/24/25 12:35
61.9102,3/24/25 12:40
61.8707,3/24/25 12:45
61.9003,3/24/25 12:50
61.9694,3/24/25 12:55
61.9793,3/24/25 13:00
61.9793,3/24/25 13:05
61.9744,3/24/25 13:10
61.93,3/24/25 13:15
61.9201,3/24/25 13:20
61.9819,3/24/25 13:25
61.9694,3/24/25 13:30
61.9941,3/24/25 13:35
61.9694,3/24/25 13:40
61.9645,3/24/25 13:45
61.9694,3/24/25 13:50
61.9645,3/24/25 13:55
61.9102,3/24/25 14:00
61.9694,3/24/25 14:05
61.9546,3/24/25 14:10
61.9793,3/24/25 14:15
61.9497,3/24/25 14:20
61.9645,3/24/25 14:25
61.9398,3/24/25 14:30
61.9596,3/24/25 14:35
62.0237,3/24/25 14:40
62.1076,3/24/25 14:45
62.1126,3/24/25 14:50
62.0928,3/24/25 14:55
62.157,3/24/25 15:00
62.1471,3/24/25 15:05
62.157,3/24/25 15:10
62.2163,3/24/25 15:15
62.1975,3/24/25 15:20
62.1373,3/24/25 15:25
62.2054,3/24/25 15:30
62.2261,3/24/25 15:35
62.2113,3/24/25 15:40
62.3149,3/24/25 15:45
62.2656,3/24/25 15:50
62.1471,3/24/25 15:55
62.1373,3/24/25 16:00
62.236,3/24/25 16:05
62.1373,3/24/25 16:10
62.236,3/24/25 16:50
62.2261,3/24/25 17:00
62.1373,3/24/25 17:10
62.1471,3/24/25 17:20
62.2964,3/24/25 17:35
62.236,3/24/25 18:00
62.1373,3/24/25 18:30
62.4531,3/24/25 18:45
62.1373,3/24/25 19:00
63.02,3/25/25 4:00
62.95,3/25/25 4:05
